173,8.6,时空恋旅人,167672
174,9.1,迁徙的鸟,48309
175,8.6,荒野生存,115462
176,8.8,地球上的星星,69742
177,8.7,绿里奇迹,95063
178,8.5,阿飞正传,156309
179,8.5,蝙蝠侠：黑暗骑士崛起,265560
180,8.5,勇闯夺命岛,128997
181,8.6,燕尾蝶,100377
182,8.3,恐怖游轮,273489
183,8.7,荒蛮故事,107490
184,8.8,惊魂记,71340
185,8.6,卡萨布兰卡,111659
186,8.4,魔女宅急便,171113
187,8.5,再次出发之纽约遇见你,142344
188,8.4,英国病人,161210
189,8.5,这个男人来自地球,155510
190,8.6,达拉斯买家俱乐部,147174
191,8.9,小森林 冬春篇,90055
192,8.4,变脸,194798
193,8.5,终结者2：审判日,126630
194,8.6,叫我第一名,97953
195,9.2,东京物语,43073
196,8.5,E.T. 外星人,136756
197,8.8,未麻的部屋,76565
198,8.5,被解救的姜戈,235027
199,8.7,牯岭街少年杀人事件,89549
200,8.7,末路狂花,90276
201,8.3,穆赫兰道,207864
202,8.6,爆裂鼓手,201588
203,8.4,发条橙,167927
204,8.8,哪吒闹海,69546
205,9,忠犬八公物语,46879
206,8.6,非常嫌疑犯,102749
207,8.3,源代码,370972
208,8.5,黑客帝国3：矩阵革命,136803
209,8.4,新龙门客栈,162340
210,8.4,美国丽人,165837
211,8.4,青蛇,192513
212,9.1,黄金三镖客,44260
213,8.6,上帝也疯狂,86560
214,9.1,爱·回家,42339
215,8.4,无耻混蛋,200874
216,8.9,勇士,78717
217,8.2,初恋这件小事,411447
218,8.3,曾经,186782
219,9.2,城市之光,36450
220,8.2,蓝色大门,250759
221,8.5,麦兜故事,116078
222,8.6,蝴蝶,88502
223,8.4,暖暖内含光,130537
224,8.7,无敌破坏王,167626
225,8.9,与狼共舞,51494
226,8.6,巴黎淘气帮,97241
227,8.7,大卫·戈尔的一生,74729
228,8.5,遗愿清单,110548
229,8.3,国王的演讲,305245
230,8.5,血钻,113797
231,8.3,夜访吸血鬼,180066
232,8.5,偷拐抢骗,104341
233,8.2,两小无猜,294533
234,8.3,爱在暹罗,204867
235,8.4,荒岛余生,117225
236,8.7,中央车站,70303
237,8.5,模仿游戏,221063
238,8.5,月球,126942
239,8.4,罪恶之城,129363
240,8.7,千钧一发,71577
241,8.2,疯狂的石头,272317
242,8.8,寿司之神,71496
243,8.6,枪火,85241
244,9,我爱你,47776
245,8.5,廊桥遗梦,85930
246,8.7,爱在午夜降临前,98246
247,8.4,角斗士,117264
248,8.2,假如爱有天意,207201
249,8.4,导盲犬小Q,110255
250,8.5,黑鹰坠落,96073
ranking,score,movie_name,score_num
